1427507.569,,,,,,,
,,8,Discounted fixed,,,3037.8,683565.25
April,,2,Discounted fixed,6418.05,, -   ,
,,1,Discounted fixed,,, -   ,
,,,,,,,689983.3
May,,9,Discounted fixed,4905.55,,2367.75,
,,1,Discounted fixed,,, -   ,
,,,,,,,692521.1
June,,10,Discounted fixed,443.15,,6013.35,
,,,,,,,
,,,,,,,686950.9
July,,10,Discounted fixed,5298.85,,7187.35,
,,5,Discounted fixed,7925.8,, -   ,
,,,,,,,692988.2
August,,2,Discounted fixed,16312.35,,,
,,5,Discounted fixed,,,4575.55,
,,,,,,,704725
September,,15,Discounted fixed,21089.45,,,
,,5,Discounted fixed,,,9188.6,
,,2,Discounted fixed,,,12740.95,703884.9
October,,,,,,,
,,2,Discounted fixed,13764.3,,,717649.2
November,,20,Discounted fixed,3461.35,,,
,,6,Discounted fixed,,,5767.45,
,,,,,,,715343.1
December,,2,Discounted fixed,20774,,,
,,2,Discounted fixed,,,8946.2,
,,1,Discounted fixed,,,11102.3,716068.7
21013,,5,Discounted fixed,18248.2,,,
January,,20,Discounted fixed,4956.5,,,
,,7,Discounted fixed,,,3235.4,
,,5,Discounted fixed,,,5530.85,
,,1,Discounted fixed,,,14938.45,715568.7
February,,2,Discounted fixed,20445.8,,,
,,15,Discounted fixed,5875.7,,,
,,1,Discounted fixed,,,10511.6,
,,2,Discounted fixed,,,14226.5,717152.1
March,,2,Discounted fixed,19960.65,,,
,,10,Discounted fixed,11061.75,,,
,,1,Discounted fixed,,,14969.85,733204.65
April,,2,Discounted fixed,,,7322,
,,2,Discounted fixed,,,1438.9,
,,2,Discounted fixed,,,7034.5,
,,5,Discounted fixed,,,4095.8,
,,2,Discounted fixed,,,3995.95,
,,6,Discounted fixed,,,5948,
,,5,Discounted fixed,20240.75,,,
,,15,Discounted fixed,17385.85,,,740996.1
May,,20,Discounted fixed,10882.7,,,
,,6,Special Floating ,,,5000,746878.8
June,,10,Discounted fixed,,,2704.8,744174
   July,,5,Discounted fixed,12888,,,
,,10,Discounted fixed,12121.35,,,
,,15,Discounted fixed,7507.1,,,776690.45
August,,10,Discounted fixed,,,6352.69,
,,5,Discounted fixed,,,4127.5,
,,5,Discounted fixed,,,10007.56,
,,2,Discounted fixed,17927.4,,,
,,10,Discounted fixed,521.7,,,774651.81
September,,2,Discounted fixed,,,213.43,
,,2,Discounted fixed,,,947.52,
,,4,Discounted fixed,5993.7,,,
,,8,Discounted fixed,6894.21,,,
,,12,Discounted fixed,8461.74,,,794840.51
October,,4,Infrustructure Bond,4776.52,,,
,,8,Infrustructure Bond,5494.16,,,
,,12,Infrustructure Bond,6743.37,,,
,,5,Discounted fixed,,,4680.04,
,,5,Discounted fixed,,,5328.4,801846.12
November,,5,Discounted fixed,14937.8,,,
,,2,Discounted fixed,,,13455.5,
,,2,Discounted fixed,,,9980.05,793348.37
December,,2,Discounted fixed,25202.4,,,
,,7,Discounted fixed,,,2261.63,816289.14
2014,,,,,,,
January,,10,Discounted fixed,15030.15,,,831319.29
February,,15,Discounted fixed,15582.8,,,
,,8,Discounted fixed,,,3318.8,843583.29
March,,2,Discounted fixed,19976.4,,,863559.69
April,,5,Discounted fixed,17511.2,,,
,,2,Discounted fixed,,,6418.09,874652.81
May,,2,Discounted fixed,12267.45,,,
,,,,,,,886920.26
June,,20,Discounted fixed,11423.6,,,
,,5,Discounted fixed,16418.25,,,
,,,,,,,914762.11
July,,7,Discounted fixed,,,8269.85,
,,2,Discounted fixed,7862.7,,,914354.96
August,,5,Discounted fixed,13452.05,,,
,,2,Discounted fixed,,,16312.35,
,,30,Savings and Development Bond,1752.5,,,913247.16
September,,10,Discounted fixed,15587.65,,,
,,30,Savings and Development Bond,4255.75,,,
,,5,Discounted fixed,,,13239.1,919851.46
October,,12,infrastructure Bond,16012.35,,,
,,2,Discounted fixed,,,13764.3,
,,,,,,,922099.51
November,,12,infrastructure Bond,10786.7,,,
,,12,infrastructure Bond,7088.45,,,
,,12,infrastructure Bond,1593.4,,,
,,15,Discounted fixed,12129.8,, -   ,953697.86
December,,15,infrastructure Bond,13172.95,,,
,,2,Discounted fixed,8903.25,,20774,
2015,,,,,,,955000.06
January,,5,Discounted fixed,8222.5,,,
,,20,Discounted fixed,13857.5,,,
,,,,,,,977080.06
February,,10,Discounted fixed,11909.05,,,
,,2,Discounted fixed,23592.15,,20445.8,
,,4,Discounted fixed,,,8482.55,
,,8,Discounted fixed,,,2656.9,
,,,,,,,980996.01
March,,12,infrastructure Bond,26459,,,
,,2,Discounted fixed,,,19960.65,
,,,,,,,987494.36
April,,9,Discounted fixed,,,3060.25,
,,12,infrastructure Bond,24733.2,,,
,,,,,,,1009167.31
May,,2,Discounted fixed,20472.45,,,
,,10,Discounted fixed,5234.35,,,
,,5,Discounted fixed,,,11924.85,1022949.26
June,,5,Discounted fixed,5566.2,,,
,,2,Discounted fixed,7190.9,,,
,,,,,,,1035706.36
July,,5,Discounted fixed,12462,,,
,,,,,,,
,,,,,,,1048168.36
August,,2,Discounted fixed,11555.9,,,
,,2,Discounted fixed,,,17927.4,
,,,,,,,1041796.86
September,,1,Discounted fixed,24260.65,,,
,,4,Discounted fixed,,,19121.18,
,,,,,,,1046936.33
October,,1,Discounted fixed,20482.75,,,
,,,,,,,
,,,,,,,1067419.08
November,,5,Discounted fixed,30673.85,,,
,,5,Discounted fixed,,,11968.75,
,,5,Discounted fixed,,,1723.4,
,,5,Discounted fixed,,,1280.95,
,,6,Discounted fixed,,,9193.7,1073926.13
December,,9,infrastructure Bond,16548.95,,,
,,9,infrastructure Bond,4711.35,,,
,,9,infrastructure Bond,2383.3,,,
,,2,Discounted fixed,,,25251,
,,,,,,,1072318.73
2016,,9,infrastructure Bond,1475.95,,,
January,,10,Discounted fixed,4737.7,,,
,,2,Discounted fixed,20153.75,,,
,,5,Discounted fixed,,,10810.2,
,,5,Discounted fixed,,,11272.9,
,,,,,,,1076603.03
February,,5,Discounted fixed,12928.15,,,
,,10,Discounted fixed,18469.95,,,
,,6,infrastructure Bond,,,8776.47,1099224.66
March,,15,Discounted fixed,9615.4,,,
,,10,Discounted fixed,,,3451.05,
,,10,Discounted fixed,9958.4,,,
,,2,Discounted fixed,,,19976.4,1095371.01
April,,5,Discounted fixed,19544.2,,,
,,1,Discounted fixed,,,10241.38,1104673.83
May,,9,infrastructure Bond,36303.2,,,
,,2,Discounted fixed,4717.9,,,
,,10,Discounted fixed,,,5028.1,
,,2,Discounted fixed,,,12267.45,
,,2,Discounted fixed,,,7862.7,1120536.68
Jun,,2,Discounted fixed,25500.45,, -   ,
,,15,Discounted fixed,6004.15,, -   ,1152041.28
July,,20,Discounted fixed,9683.35,, -   ,
,,5,Discounted fixed,24395.3,, -   ,1186119.93
August,,10,Discounted fixed,18306.45,,14200,1190226.38
September,,5,Discounted fixed,23051.05,,24260.65,
,,20,Discounted fixed,12761.2,, -   ,1201777.98
October,,15,infrastructure Bond,4722.85,,,
,,15,infrastructure Bond,32673.45,,10241.38,1228932.91
November,,15,infrastructure Bond,2633.35,,,
,,15,Discounted fixed,14927.9,,,
,,20,Discounted fixed,8100.8,, -   ,1254594.96
December,,2,Discounted fixed,10513.65,,8903.25,
,,2,Discounted fixed,13609.9,,20472.45,1249342.81
2017,,2,Discounted fixed,1354,, -   ,
Jan,,,,,,,1250696.81
Feb,,12,infrastructure Bond,6290.8,,21817.42,1235170.19
March,,12,infrastructure Bond,8039.6,,,
,,5,Discounted fixed,13080.1,,,
,,5,Discounted fixed,11868.9,, -   ,1268158.79
April,,5,Discounted fixed,7623.8,,,
,,5,Discounted fixed,7830.15,,,
,,3,MAB,150.05,,,
,,10,Discounted fixed,14723.7,,,
,,10,Discounted fixed,18537.6,, -   ,1317024.09
May,,10,Discounted fixed,3252.1,,,
,,10,Discounted fixed,4009.6,,,
,,10,Discounted fixed,9337.9,,,
,,15,Discounted fixed,11806.95,,,
,,15,Discounted fixed,10725.05,,,
,,10,Discounted fixed,5200.1,,36079.55,1325276.24
June,,15,Discounted fixed,25445.65,,18746.8,1331975.09
July,,10,Discounted fixed,5178.85,,,1337154.34
August,,10,Discounted fixed,7014.3,,5130.54,1356635.7
September,,5,Discounted fixed,17490,,,
,,3,MAB,247.75,,4031.4,
,,2,Discounted fixed,20679.8,,5993.7,
,,10,Discounted fixed,6307.25,,4776.68,1386558.71
October,,2,Discounted fixed,11126.6,,,
,,10,Discounted fixed,624.7,,,
,,5,Discounted fixed,13492.1,,9308.8,1402493.31
November,,5,Discounted fixed,7220,,,
,,7,infrastructure Bond,41449.45,,                        -   ,1451162.76
December,,9.6,Discounted fixed,5388.4,,,
,,5.2,Discounted fixed,4695.25,,,1461246.41
2018,,9.6,Discounted fixed,5172.45,,,
January,,5.2,Discounted fixed,2692.55,,,
,,15,infrastructure Bond,4953.65,,20153.75,1453911.31
February,,14.9,infrastructure Bond,36231.15,,,
,,7,Discounted fixed,5000,,,
,,10.1,Discounted fixed,9186.6,,12178.89689,1492150.17
March,,7,Discounted fixed-Reopened,357.65,,,
,,10.1,Discounted fixed-Reopened,3688.75,,,
,,19.9,Discounted fixed,8564.25,,,
,,5,Discounted fixed,23055.8,,0,1527836.62
April,,19.9,Discounted fixed-Reopened,7841.3,,,
,,5,Discounted fixed-Reopened,7739.75,,,
,,19.8,Discounted fixed-Reopened,6856.6,,,
,,4.9,Discounted fixed-Reopened,20021.1,,20240.75,1550054.62
May,,15,Discounted fixed,13224,,30218.35,1533060.27
June,,25,Discounted fixed,5152.6,,26340.05,1511872.82
July,,20,Discounted fixed,10635.55,,13504.7,1509003.67
August,,10,Discounted fixed,19363.1,,3900.95,1524465.82
September,,10,Discounted fixed,21221.5,,,
,,20,Discounted fixed,5211.1,,22127.4,1528771.02
October,,15,Discounted fixed,7848.3,,8998.311049,1527621
November,,14.9,Discounted fixed,21216.05,,,
,,19.9,infrastructure Bond,27948.85,,39998.73982,1536787.17
December,,19.9,infrastructure Bond,8838.45,,,
,,10,Discounted fixed,26143.6,,,
,,9.9,Discounted fixed,6623.55,,25477.55,1552915.21
2019,,2,Discounted fixed,23708.85,,,
January,,15,Discounted fixed,14716.5,,0,1591340.57
February,,2,Discounted fixed-Reopened,7412,,,
,,14.9,Discounted fixed-Reopened,15850.15,,,
,,5,Discounted fixed,20587.25,,,
,,10,Discounted fixed,32800.4,,0,1667990.37
March,,1.5,MAB-Reopened,197,,,
,,24.9,infrastructure Bond,16828.65,,0,1685016.02
April,,10,Discounted fixed,51325,,27514.05,
,,5,Discounted fixed,,,25733.7,
,,19.9,Discounted fixed,9018.15,,,1692111.42
May,,5,Discounted fixed,39201.4,,,
,,12,Discounted fixed,,,4864.6,
,,15,Discounted fixed,19314.45,,,1745762.67
June,,1.2,MAB-Reopened,183,,,
,,13.9,Discounted fixed-Reopened,17482.75,,,
,,8.2,Discounted fixed-Reopened,21843.5,,,
,,5,Discounted fixed,,,37122.14757,1748149.77
July,,15,Discounted fixed,50552.95,,0,1798702.72
August,,19.6,Discounted fixed-Reopened,14541.9,,,
,,10,Discounted fixed,45005.05,,15874.48389,1842375.18
September,,1,MAB-Reopened,263.6,,,
,,13.6,Discounted fixed-Reopened,15116.85,,,
,,14.6,Discounted fixed-Reopened,17227.2,,46205.50184,1828777.33
October,,13.6,Discounted fixed-Reopened,3431.4,,,
,,14.6,Discounted fixed-Reopened,5905.65,,,
,,16,infrastructure Bond,71667.54512,,0,1909781.93
November,,10,Discounted fixed-Reopened,28344.45,,0,1938126.38
December,,10,Discounted fixed-Tapsale,8082.1,,,
,,5,Discounted fixed-Tapsale,9747.3,,,
,,5,Discounted fixed-Tapsale,18737.95,,0,1974693.73
2020,,4.1,Discounted fixed-Reopened,44772.25,,,
January,,9.1,Discounted fixed-Reopened,19243.6,,0,2038709.58
February,,15,Discounted fixed-Reopened,5191.25,,,
,,23.3,Discounted fixed-Reopened,22991.85,,0,2066892.68
March,,17.9,Discounted fixed-Reopened,8321.6,,,
,,23.2,Discounted fixed-Reopened,15073.65,,0,2090287.93
April,,9,infrastructure Bond,41191.65,,,
,,8.9,infrastructure Bond-Tapsale,37781.95,,19544.2,2149717.33
April,,9,infrastructure Bond,41191.65,,,
,,8.9,infrastructure Bond-Tapsale,37781.95,,19544.2,2149717.33
May,,4.9,infrastructure Bond-Tapsale,8960.35,,0,
,,5,infrastructure Bond,20774.6,,0,2179452.28
June,,6,infrastructure Bond-Tapsale,21679.05184,,,
,,4.5,Discounted fixed-Reopened,16345.25,,,
,,9.4,Discounted fixed-Reopened,32923.55,,30956.05,2219444.08
July,,4.8,Discounted fixed-Reopened,8842.9,,0,2297846.54
August,,17.9,Discounted fixed-Tap Sale,40221.85,,,
,,11,infrastructure Bond,80249.6,,0,2418317.99
September,,10.6,Discounted fixed-Reopened,8404.9,,,
,,14.4,Discounted fixed-Reopened,44725.9,,,
,,5.2,Discounted fixed-Reopened,11686.7,,891.35,2482244.14
October,,10.5,Discounted fixed-Reopened,19258.7,,,
,,22.6,Discounted fixed-Reopened,43156.4,,33387.9,2511271.34
November,,22.5,Discounted fixed-Reopened,7952.2,,,
,,7.4,Discounted fixed-Reopened,25515.3,,,
,,17.3,Discounted fixed-Reopened,27450.4,,30673.85,2541515.39
December,,6.7,Discounted fixed-Reopened,8721.25,,,
,,13.4,Discounted fixed-Reopened,9747.5,,,
,,13.3,Discounted fixed-Reopened,7421.6,,,
,,6.7,Discounted fixed-Reopened,2564.9,,8639.4,2561331.24
2021,,2,Discounted fixed,55851.55,,,
January,,16,Discounted fixed,80958.35,,31120.85,2667020.29
February,,11.7,Discounted fixed-Reopened,23555.3,,,
,,7,Discounted fixed-Reopened,9648.1,,,
,,11.7,Discounted fixed-Reopened,4054.3,,,
,,7,Discounted fixed-Reopened,7152.85,,7868.3655,2703562.48
March,,7.9,Discounted fixed-Reopened,15480.85,,,
,,17.3,Discounted fixed-Reopened,33130.1,,17705.645,2734467.78
April,,17.9,infrastructure Bond,81785.6,,19544.2,2796709.18
May,,13,Discounted fixed-Reopened,6131.2,,,
,,24.9,Discounted fixed,14243.5,,,
,,24.9,Discounted fixed-Tapsale,5015.6,,,
,,12.9,Discounted fixed,15897.15,,8267.805,2829728.83
June,,17.8,Discounted fixed-Tapsale,13741,,,
,,11.4,Discounted fixed-Tapsale,6465.8,,0,2849935.63
July,,17.7,Discounted fixed-Tapsale,29810.6,,,
,,11.3,Discounted fixed-Tapsale,8628.6,,,
,,24.7,Discounted fixed-Tapsale,22186.1,,,
,,6.1,Discounted fixed-Tapsale,30716.65,,,
,,11.8,Discounted fixed-Tapsale,27096.8,,24395.3,2943979.08
August,,19.9,Discounted fixed,39530.7,,,
,,16.5,Discounted fixed-Reopened,17766.6,,,
,,8,Discounted fixed-Reopened,23738.4,,0,3025014.78
September,,20.9,infrastructure Bond,106742.2,,34916.1944,3096840.78
October,,6.3,Discounted fixed-Reopened,23533.85,,,
,,12.7,Discounted fixed-Reopened,3366.85,,,
,,24.5,Discounted fixed-Reopened,25703.35,,10024.95,3139419.88
November,50000,17.4,Discounted fixed-Reopened,16238.35,,,
,,5,Discounted fixed-Reopened,53634.1,,5388.330185,3203904
December,40000,16.2,Discounted fixed-Reopened,17714.85,,,
2022,,7.9,Discounted fixed-Reopened,20622.75,,,3242241.6
January,30000,3.3,Discounted fixed-Reopened,27107.4,,,
,,6.9,Discounted fixed-Reopened,7312.55,,,
,,19.5,Discounted fixed-Reopened,28235.45,,,3304897
February,75000,19,infrastructure Bond,98377.55,,2927.55,3400347
March,81500,12.9,Discounted fixed-Reopened,6595.8,,,
,,24.1,Discounted fixed-Reopened,3929.3,,,
,,4.7,Discounted fixed-Reopened,8509.55,,,
,,4.6,Discounted fixed-Reopened,3932.2,,,
,,12.9,Discounted fixed-Reopened,15561.65,,,
,,24.1,Discounted fixed-Reopened,5389.3,,3654.6,3440610.2
April,70000,3,Discounted fixed-Reopened,33113.0834,,,
,,15,Discounted fixed-Reopened,27623.36166,,0,3501346.65
May,70000,10,Discounted fixed,28558.9,,,
,,23.9,Discounted fixed-Reopened,2988.1,,,
,,23.9,Discounted fixed-Reopened,11034.75,,,
,,10,Discounted fixed-Tapsale,5936.85,,6000,3543865.25
June,100000,18,Infrastructure Bond,73619.3,,7236.95,
,,14.8,Discounted fixed,15955.7,,25445.65,
,,2.8,Discounted fixed,3606.95,,443.15,
,,,,,,5298.85,
,,,,,,11061.75,
,,,,,,18468.68963,3569092.01
July,60000,17.9,Infrastructure Bond-Tap Sale,6206.95,,,
,,5.7,Discounted fixed-Reopened,5467.85,,,
,,11.2,Discounted fixed-Reopened,4347.35,,0,3585114.161
August,50000,18.9,Discounted fixed-Reopened,8217.85,,,
,,2.6,Discounted fixed-Reopened,22117.15,,12110.3743,
,,6.6,Discounted fixed-Reopened,9400.3,,17488.7757,3595250.311
September,50000,14.6,Discounted fixed-Reopened,13404.55,,,
,,9.6,Discounted fixed-Reopened,26209.55,,0,3634864.411
October,60000,4.8,Discounted fixed-Reopened,14257.65,,13492.1,
,,12.3,Discounted fixed-Reopened,1081.7,,7220,
,,24.9,Discounted fixed,13631.45,,10414.21015,3632708.901
November,65000,14,Infrastructure Bond,75227.2,,7841.1,
,,14,Infrastructure Bond-Reopened,19031.4,,10189.1,
,,,,,,14927.9,
,,,,,,20207.46518,3673801.935
December,147800,6,Infrastructure Bond,47314.85,,,
,,24.8,Discounted fixed,7142.05,,,
,,5.5,Discounted fixed-Reopened,17286.95,,,
,,5.9,Infrastructure Bond-Reopened,10674.65,,45598.7,3710621.735
2023,60000,14.2,Discounted fixed-Reopened,24950.75,,,
January,,2.3,Discounted fixed-Reopened,7261.55,,,
,,2.3,Discounted fixed-Tap Sale,13897.3,,,
,,14.2,Discounted fixed-Tap Sale,4112.5,,16806.25,3744037.585
February,60000,4.4,Discounted fixed-Reopened,7689.2,,,
,,10,Discounted fixed,9263.6,,,
,,4.4,Discounted fixed-Tap Sale,8853.65,,,
,,10,Discounted fixed-Tap Sale,3603.05,,0,3773447.085
March,70000,17,Infrastructure Bond,50553.15,,,
,,16.9,Infrastructure Bond-Tap Sale,12614.8,,65585.35,3771029.685
April,30000,5.7,Discounted fixed-Reopened,3606.55,,,
,,16.9,Infrastructure Bond,5028.55,,,
,,2,Discounted fixed-Reopened,1768.75,,0,3781433.535
May,50000,3,Discounted fixed,20241.05,,,
,,3,Discounted fixed-Tap Sale,10556.25,,,
,,3,Discounted fixed-Reopened,27193.6,,18084.20631,3821340.229
June,75000,7,Infrastructure Bond,213251.6,,,
,,3,Discounted fixed-Tap Sale,18547.05,,39248.25,4013890.629
July,60000,5,Discounted fixed,22793.25,,,
,,10,Discounted fixed-Reopened,16198.1,,,
,,10,Discounted fixed-Reopened,32186.7,,,
,,5,Discounted fixed-Reopened,12175.8,,0,4097244.479
August,61000,5,Discounted fixed-Reopened,7522.8,,,
,,2,Discounted fixed,11474.65,,,
,,5,Discounted fixed-Reopened,6141.5,,,
,,2,Discounted fixed,17339.4,,,
,,10,Discounted fixed-Reopened,786.75,,,
,,2,Discounted fixed-Reopened,2166,,2952.75,4139722.829
September,35000,2,Discounted fixed-Reopened,14801.65,,,
,,10,Discounted fixed-Reopened,7017.75,,11735.5,4149806.729
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Source: Central bank of Kenya,,,,,,,
