Counties, TOTAL HOUSHOLDS,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages,Population (2019),Area sq km,density per sq km
MOMBASA,378422,12497,7218,8749,128,1409,958,5681,,,,,2849,,,,2232,,,,,,,,,,412,191,1024,313,3029,6,36,134,6142,743,998,68,186,83,24,1208333,219.9,5495
KWALE,173176,108074,100020,72666,220,4452,2438,93143,2784,8585,1038,8619,46004,10388,,20536,28831,,10008,1124,5636,1290,3794,10775,5089,,1453,804,33888,10587,45129,62,507,48,56196,962,836,573,179,201,57,866820,8267.1,105
KILIFI,298472,161188,149334,101983,366,6393,5643,143913,2911,2847,,10319,58225,9899,,30359,26712,,8854,,2570,1522,4649,6982,6383,,4905,1480,33420,6746,67419,81,1234,366,72134,1484,1807,611,524,333,50,1453787,12539.7,116
TANA RIVER,68242,35094,16723,27046,212,2136,4528,13141,472,1255,,2373,1989,991,,5627,4647,,2521,723,585,,2406,1815,1690,384,1302,283,12012,16725,21545,3333,5329,2,10187,1019,616,1066,38,176,48,315943,37950.5,8
LAMU,37963,18678,15196,13448,65,3162,1083,13698,818,,,546,4611,996,,5854,4479,,1497,176,2651,585,1637,1184,2201,1574,508,159,3838,1932,8343,17,795,33,10362,385,253,302,62,54,15,143920,6253.3,23
TAITA/TAVETA,96429,56920,48382,43462,275,670,10225,44378,3651,488,4906,31229,17159,9080,,14573,17629,2838,6428,2340,2033,1935,2155,11557,7687,,7893,1088,16591,7190,24512,63,1528,148,34560,895,641,1857,1555,262,27,340671,17152,20
GARISSA,141394,47645,4406,46154,1981,1411,1817,2590,748,,696,1326,,,,,1902,,1808,1132,,,1727,804,,,1376,608,23444,37684,41468,17624,20630,,5852,1307,832,833,285,,,841353,44736,19
WAJIR,127932,63433,2484,62695,1272,912,638,1663,660,,,799,,,,,,,,,,,717,,,,1633,518,28872,53245,57038,39237,39275,,5712,891,447,174,69,,,781263,56773.1,14
MANDERA,125763,62639,15310,60556,1646,1083,5428,13594,5735,1129,7331,,,,,2250,1257,3566,2312,,1804,3601,1484,753,,,1203,427,28596,50451,56390,43691,40877,,13003,2155,1010,6008,173,,,867457,25939.8,33
MARSABIT,77495,39167,2655,38342,163,1295,160,1933,,,1619,,,72,,,,,,,,,405,,,,1367,768,17793,30124,33757,22092,21474,19,3340,291,165,337,16,131,37,459785,70944.1,6
ISIOLO,58072,24271,2780,23348,80,209,1322,1983,,,1297,,351,,290,307,,1111,1019,,,364,1086,,,,596,406,11953,19424,20562,6771,11509,11,6041,319,225,407,54,66,13,268002,25350.6,11
MERU,426360,274865,250493,201036,1089,1666,51587,217403,34277,68292,181410,40774,34320,6290,23981,118020,22818,13710,19650,6202,15218,2499,53941,27532,2428,,63202,12794,69431,34791,94528,273,3788,11730,132552,11192,6091,12278,12517,1011,112,1545714,7006.3,221
MERU NATIONAL PARK,207,3,3,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT. KENYA FOREST(MERU),283,179,171,83,1,0,14,138,11,155,113,30,32,5,6,42,17,11,22,9,11,2,45,17,4,,39,21,23,33,22,0,5,6,45,4,3,7,9,1,0,,,
THARAKA 0 NITHI,109860,85767,79228,67964,304,786,7766,53730,31848,6312,41827,18303,10425,,29144,31892,2102,3745,5674,1012,27262,1158,13507,10232,616,,18185,3635,22274,13039,44784,33,3849,3566,54256,2623,1041,9054,4004,284,29,393177,2564.4,153
MT. KENYA FOREST(THARAKA NITHI),113,4,2,2,0,1,2,2,,1,2,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
EMBU,182743,130990,123265,98446,579,1633,11873,109171,22883,31032,89278,27641,20905,,30437,55970,8247,8734,8517,1215,12819,1884,27825,17631,,,23852,5700,32172,12781,56864,56,8069,2404,80171,4250,1525,11926,7297,549,57,608599,2820.7,216
MT. KENYA FOREST(EMBU),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KITUI,262942,215322,199459,177701,570,863,6716,178635,98030,,105815,35623,15210,,133390,16923,1330,8600,5648,,60988,17724,19725,3959,2711,,3865,3016,88486,20920,149306,433,103497,175,147023,3016,1968,30134,710,461,82,1136187,30429.5,37
MACHAKOS,402466,231341,217073,176746,564,1834,16642,211089,22077,12704,194467,60602,37625,,55800,60821,5394,16758,9110,,4514,4679,40521,9053,,,12759,4057,103561,34152,113642,96,19679,427,143193,5072,2606,6284,7966,500,68,1421932,6042.7,235
MAKUENI,244669,193531,180639,157946,394,908,15313,176503,34867,12328,137972,45628,29899,,69800,49487,6382,12906,6773,,6607,5887,33585,12286,1564,,9659,3192,96923,27988,118982,73,30697,129,133836,4986,2755,12302,3675,324,66,987653,8169.8,121
NYANDARUA,179686,140854,135148,110337,250,603,4218,114595,1793,119679,59481,1038,3788,2719,4241,3956,64651,3099,43964,,,,74358,3636,,,62978,9637,23151,53860,12196,,6668,512,80850,7065,1996,2442,9263,233,16,638289,3285.7,194
ABERDARE NATIONAL PARK,11,2,2,2,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0
NYERI,248050,164229,154421,122979,760,1264,23545,138426,3354,,108919,125889,13597,34618,2536,2311,81891,45430,12864,27917,,,71714,23622,,,51342,7267,28563,33893,41183,,439,2305,84273,8973,2370,3514,9302,718,58,759164,3325,228
MT. KENYA FOREST(NYERI),101,44,43,15,0,0,2,3,1,0,42,18,0,0,0,0,0,7,0,0,0,0,6,0,0,0,1,1,8,8,0,0,0,0,10,0,0,1,0,0,0,0,0,0
ABERDARE FOREST(NYERI),79,2,2,1,0,0,2,1,0,0,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRINYAGA,204188,139866,130577,97394,702,1796,42309,100197,8880,21557,22133,83440,20215,25556,,4285,73990,18370,15866,10460,2643,2049,40338,19104,,,29013,8588,25622,9616,42477,,564,2410,74137,4680,2007,2844,8727,606,54,610411,1478.3,413
MT. KENYA FOREST(KIRINYAGA),23,8,6,4,0,0,0,3,,,,3,,1,,,1,2,2,,,,2,,,,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MURANG'A,318105,231400,219973,175123,450,1345,11205,202745,6021,,91878,177211,49778,60504,,3208,144925,35857,13611,26806,,,86317,21753,,,82912,17983,30738,22478,66761,,621,11053,117623,10341,3161,3488,14565,428,36,1056640,2524.2,419
ABERDARE FOREST(MURANGA),33,2,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KIAMBU,795241,214052,177419,147137,417,1317,14835,144125,,,108457,120887,9816,18416,,,74810,41121,17996,28684,,,103524,19981,,,67014,9559,10511,30251,21854,,3891,9731,92248,14138,4156,1535,7577,379,52,2417735,2538.6,952
TURKANA,164519,61209,14240,56643,398,4522,4968,9751,10225,,,,,,1991,,,,,,,2917,1827,,,,561,308,10117,40870,52740,15589,13570,67,5501,695,466,302,45,333,101,926976,68232.9,14
WEST POKOT,116182,89828,80186,78534,620,397,8095,75323,18754,11316,43812,2126,2942,,2193,14413,8146,4808,10145,1140,11759,1035,18662,4006,,,11076,3253,51874,40004,48267,3281,3378,64,52039,2376,1419,15207,228,518,87,621241,9123.2,68
SAMBURU,65910,43149,13814,41097,172,278,465,12817,,3168,10667,,346,93,465,721,1593,2202,2458,,51,,4487,,,,1046,1112,29629,34813,34279,9204,9857,48,13709,634,367,3642,62,145,31,310327,21065.1,15
TRANS NZOIA,223808,140249,129945,96811,713,770,5153,125391,9454,15289,88786,10655,22537,1663,1251,55116,8379,9486,7414,2205,12266,,43464,7816,,,34268,3327,33315,33309,7090,,3257,670,76678,5329,2025,1959,895,664,86,990341,2495.2,397
UASIN GISHU,304943,141547,132009,104671,524,708,5141,126577,8982,23950,67257,2675,10382,8148,,21501,12737,9092,16729,,15684,,46064,4704,,,44163,3056,42622,44277,6478,19,1693,847,73895,5430,1773,5442,1047,477,61,1163186,3392.2,343
ELGEYO/MARAKWET,99861,74881,71084,54322,280,340,8383,62633,9624,27205,39126,2276,4123,1369,1744,12325,10555,4105,13775,1772,20353,548,22876,2021,,,13432,1802,31393,27835,10730,21,1708,49,32412,1512,670,5141,530,260,35,454480,3032,150
NANDI,199426,148887,143017,111347,824,1034,3777,134408,14875,18045,79216,17146,25641,1766,,68158,14764,10084,32316,1343,12788,,58494,22885,,,54653,5315,43268,28054,10032,,3116,201,78490,6867,2285,3937,1248,777,79,885711,2855.8,310
BARINGO,142518,100465,84426,80426,511,841,7165,80000,13594,12438,49579,5655,7571,1310,3802,18052,5585,5204,11101,4242,27128,1742,23812,3070,,,13012,2709,45272,37159,45686,4368,6093,76,53611,2032,1029,17720,627,468,81,666763,10976.4,61
LAIKIPIA,149271,90729,74338,68281,374,483,9170,70534,5306,38543,53967,2671,8722,3936,1781,7092,7873,6415,10333,,1516,740,17753,4706,,,9243,1865,35051,37789,29474,899,4212,328,50215,2317,618,2982,2226,353,26,518560,9532.2,54
NAKURU,616046,283652,261001,191468,565,2494,7942,243535,9613,140998,168112,6953,16130,6021,7919,32257,41413,14871,65022,,13563,,114162,11097,,,52739,6781,67473,76438,33712,61,15750,1700,140607,10631,3421,5935,7001,517,56,2162202,7462.4,290
NAROK,241125,181706,150426,150415,687,848,6948,136075,23325,53966,94779,2634,28542,13437,4439,27875,26070,17566,50324,1268,14622,1302,59672,18862,,,19843,7266,114651,86756,65365,142,50087,169,95746,4169,2245,10552,723,620,118,1157873,17950.3,65
MAU FOREST(NAROK),32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAJIADO,316179,97565,45954,82157,437,657,12207,37686,,12536,33885,2902,4184,,1693,7029,3710,10415,5801,,,2198,12860,2270,,,7099,4171,46503,54683,55397,141,21213,683,34071,2838,1330,1908,1075,379,79,1117840,21871.1,51
KERICHO,206036,150845,145850,112740,429,686,2466,132308,40485,19794,92081,6234,18375,4622,1683,70784,14922,13602,35701,,39536,,81493,23253,,,35358,2708,65545,14603,19020,,9640,78,71678,4693,1380,2856,1049,392,50,901777,2436.1,370
BOMET,187641,152564,146327,127375,379,866,1990,122998,41522,,37261,106434,3939,54045,,2331,78319,26613,21900,47758,943,28681,940,93744,40551,,39352,3224,79001,21929,20598,8856,54,90671,5682,1463,4719,1590,350,48,,875689,2530.9,346
KAKAMEGA,433207,335269,321945,235264,2223,3184,4970,312670,24160,,26204,250047,103223,146673,,9539,194940,9064,16914,26940,100958,16384,2208,141501,92380,,36597,6663,143364,21609,33506,448,14057,197524,8854,3802,2335,3956,2110,253,,1867579,3020,618
VIHIGA,143365,113753,108522,84158,493,625,1512,105807,5160,,4222,89528,40867,50944,,2243,84487,2308,4613,11438,14238,2062,,46248,25329,,12316,1151,54900,2946,14395,37,1324,72658,2399,821,338,1961,478,23,,590013,563.8,1047
KAKAMEGA FOREST(VIHIGA),12,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
BUNGOMA,358796,280445,269979,197318,1530,1944,6310,262063,28889,,40882,222747,72760,102940,7644,20851,160195,11059,19364,17992,93242,27667,2975,96113,57105,2169,32344,5254,113733,25103,40859,4094,5377,161433,6497,2341,3247,2587,1408,217,,1670570,3023.9,552
MT. ELGON FOREST,798,706,7,705,0,5,0,4,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,618,533,331,263,0,515,1,0,346,1,0,0,,,,
BUSIA,198152,148257,140668,105208,547,6139,2888,135790,53701,2206,11163,99743,71591,61973,,7815,51930,2572,7945,3335,49979,25825,1638,29615,13949,2109,5059,1928,62969,7555,28082,145,29180,88203,2895,1331,629,1313,506,57,,893681,1696.3,527
SIAYA,250698,194362,184964,129156,828,12741,4389,181114,99872,1310,9298,132295,59310,67040,15925,60751,2906,10464,10099,47293,18069,1794,49344,8326,3125,,3956,1467,85837,35629,43129,3222,5145,111991,2186,1173,441,1208,564,311,,993183,2529.8,393
KISUMU,300745,147117,133391,99284,783,6084,9692,126050,66687,10259,8789,62434,37426,30515,22727,38295,2447,13653,9675,24973,14492,2037,34752,17204,2174,,4642,1632,60438,34871,34414,1912,537,81039,2634,1109,375,1082,698,138,,1155574,2085.4,554
HOMA BAY,262036,193812,184367,127914,1056,17770,5214,179727,68877,1977,21889,111932,58238,47972,16258,56152,3462,15109,23022,61360,18769,2532,53518,25278,3263,,5830,2512,87253,36093,43402,8416,1973,106788,3457,1780,608,762,939,174,,1131950,3152.5,359
MIGORI,240168,169958,160703,112935,915,6807,2995,156039,28039,,24080,98634,62251,61576,5511,56025,4584,13375,21117,36245,16599,2541,54924,35791,,,7284,2712,80615,19304,36599,3192,855,93981,2942,1515,1512,822,848,116,,1116436,2613.5,427
KISII,308054,219853,207400,148742,810,1069,2972,194138,31358,,12622,141895,18851,24900,4062,147402,7271,8830,44787,14773,41160,,129308,29793,,,28865,3065,87010,4425,24514,1095,85,114896,11297,3856,666,1328,768,112,,1266860,1323,958
NYAMIRA,150669,110028,102856,78946,461,509,1275,89330,10634,7009,73139,6117,13058,6094,1367,73928,6758,6525,27871,2934,24192,71185,11480,803,,,17463,1589,44501,3895,15487,449,27,59702,5932,1923,762,760,440,64,,605576,897.3,675
NAIROBI,1506888,32258,16359,22818,279,697,3343,9867,,,7610,,,,,,,,,,,9573,,,,,2286,595,1242,1754,3863,286,1586,16471,3432,1813,154,1253,208,57,,4397073,703.9,6247
